Janek | 03.12.2020 01:13:38 | 2 | BAKU
Janek | 03.12.2020 01:23:54 | 17 | CONAKRY
Janusz | 03.12.2020 01:27:11 | 9 | PORT MORESBY
Janek | 03.12.2020 03:36:19 | 119 | LUANDA
Janek | 03.12.2020 16:16:15 | 22 | WARSAW
Janusz | 03.12.2020 17:22:54 | 12 | BERN
Janek | 03.12.2020 18:22:59 | 4 | TUNIS
Janek | 03.12.2020 18:42:48 | 27 | BEIJING
